search_text,title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Dental practice management software in australia or newzealand,Medianet: Australian Media Contacts Database | PR Distribution,https://www.medianet.com.au/,Send your story to media contacts and journalists across Australia. Find your contacts & distribute your press release today. Media and PR Software. International Distribution. Reach Major News Sites. Training Courses. Media Analysis & Reporting. Amplify your media coverage today.,medianet,"['2 Holt Street, Surry Hills, NSW Australia 2010', 'http://www.medianet.com.au/media-training']","['events@medianet.com.au', 'http://www.medianet.com.au/events-and-training']","['1300 616 813', ['Medianet, phone', 'knowledge_panel']]","['many media releases', 'good press releases', 'many press releases', 'press release distributions', 'relevant press releases', 'media people', 'effective press releases', 'media events', 'example press releases', 'official press releases']","[[""Michael O'Connell"", 'Managing_Director'], 'https://www.medianet.com.au/blog-michael-oconnell-exciting-time-industry/']","['Utilities, Agriculture', 'from_classification_model']",None,None,None,None,None,None,0.25,0.75,0.0,0.0,0.25
Dental practice management system in australia or newzealand,Welcome - Group | MORITA,https://www.morita.com/group/en/,Morita for specialists. Dental Specialists. Endodontic · Periodontics · Orthodontics. Medical Specialists. ENT · Radiology. © 2020 J. MORITA CORP. All Rights ...,morita,"['Suite  2 .05  247 Coward Street Mascot NSW 2020 Australia', 'https://www.morita.com/jmtmc/ja/contact/how-to-find-morita/j-morita-corp-australia-new-zealand/7358/']","['privacyhotline@jmorita-mfg.co.jp', 'https://www.morita.com/anz/en/disclaimer/']","['+6495-819-7704', 'https://www.morita.com/jmtmc/ja/news-events/event/%E6%97%A5%E6%9C%AC%E5%8F%A3%E8%85%94%E5%A4%96%E7%A7%91%E5%AD%A6%E4%BC%9A-%E7%AC%AC65%E5%9B%9E-%E7%B7%8F%E4%BC%9A%E3%83%BB%E5%AD%A6%E8%A1%93%E5%A4%A7%E4%BC%9A/59857/']","['review x-ray images', 'high image quality', 'x-ray beam', 'x-ray systems', 'x-ray', 'x-ray units', 'image quality', 'x-ray diagnostics', 'less x-ray dose', 'x-ray combination systems']","[['Haruo Morita', 'CEO'], 'https://www.morita.com/group/en/morita/']","['Healthcare, Manufacturing', 'from_classification_model']",None,"['$2.56 million USD', 'https://www.dnb.com/business-directory/company-profiles.j_morita_corporation.95ad199ff42fe1b8ce8291ee3346d5bd.html']",None,None,None,"['Foreign\xa0Company Independent', 'https://www.dnb.com/business-directory/company-profiles.j_morita_corporation.95ad199ff42fe1b8ce8291ee3346d5bd.html']",1.0,0.25,0.75,0.0,0.5
Infrastructure management software in australia or newzealand,Univex Point of Sale and E-Commerce Software - Australia ...,https://www.univex.com/,"Univex delivers Point of Sale & e-commerce solutions tailored to your way of doing business. Highly customisable software written & supported in Melbourne._Univex delivers Point of Sale & e-commerce solutions tailored to your way of doing business. Highly customisable software written & supported in Melbourne._Point of Sale  e-Commerce and Retail Management Software           
SUPPORTING",univex,"['Unit  3 , 1 James St Bayswater VIC 3153 AUSTRALIA', 'https://www.univex.com/contact-univex/']",None,"['+61-3-9738-1203', 'https://www.univex.com/contact-univex/']","['univex retail software solutions', 'univex retail management software', 'retail software', 'retail businesses', 'retail software solutions', 'customer loyalty programs', 'other business software', 'other special customers', 'customer information', 'new customers']","[['Paul Filmer', 'Managing_Director'], 'https://au.linkedin.com/in/paulfilmer']","['IT - Software, Finance and insurance', 'from_classification_model']","['30 August 2006', 'https://opencorporates.com/companies/nz/1852862']","['$3.11 million USD', 'https://www.dnb.com/business-directory/company-profiles.univex_electronics_pty_limited.b1a0d6d02aa030d8abff254eb86e9661.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/1852862']",None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.univex_electronics_pty_limited.b1a0d6d02aa030d8abff254eb86e9661.html']",0.25,0.25,0.5,0.0,0.25
Infrastructure maintenance software in australia or newzealand,Abergeldie,https://abergeldie.com.au/,Abergeldie designs  and delivers complex infrastructure projects including dams  bridges  tunnels  recreation facilities  water treatment and more.,abergeldie,"['5 GEORGE YOUNG STREET AUBURN, NEW SOUTH WALES, 2144 Australia', 'https://www.dnb.com/business-directory/company-profiles.abergeldie_complex_infrastructure_pty_ltd.e59e07da7abcd6221d178c5fc9437f4e.html']","['qld@abergeldie.com', 'https://abergeldie.com.au/contact-us/']","['+61 3 9399 4670', 'https://abergeldie.com.au/contact-us/']","['abergeldie projects', 'hot works work', 'construction works', 'site works', 'approach road works', 'parramatta city council abergeldie', 'abergeldie complex infrastructure', 'abergeldie', 'rail abergeldie', 'track work']","[['Greg Taylor', 'CEO'], 'https://abergeldie.com.au/new-ceo-appointed-for-abergeldie-3/']","['Manufacturing, Construction', 'from_classification_model']","['18 June 2008', 'https://opencorporates.com/companies/au/131697946']","['$18.47 million USD', 'https://www.dnb.com/business-directory/company-profiles.abergeldie_complex_infrastructure_pty_ltd.e59e07da7abcd6221d178c5fc9437f4e.html']",None,"['Australia', 'https://opencorporates.com/companies/au/131697946']",None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.abergeldie_complex_infrastructure_pty_ltd.e59e07da7abcd6221d178c5fc9437f4e.html']",0.375,0.25,0.75,0.0,0.34375
Infrastructure management software in australia or newzealand,Emerson Global | Emerson,https://www.emerson.com/,Helping address the world's most critical needs through our core business platforms - Automation Solutions and Commercial & Residential Solutions. Please select your region and language to find products and solutions that are available in your area.,emerson,"['Level 8, 15 Talavera Road North Ryde, New South Wales, 2113 Australia', 'https://app.avention.com/company/c9c514a8-2d14-3fac-8201-e19678d3a712#report/company_summary']",None,"['+61-299191100', 'https://app.avention.com/company/c9c514a8-2d14-3fac-8201-e19678d3a712#report/company_summary']",None,"[['Boris Gabin', 'Director'], 'https://app.avention.com/company/c9c514a8-2d14-3fac-8201-e19678d3a712#report/company_summary']","['Electromedical and Control Instruments Manufacturing', 'https://app.avention.com/company/c9c514a8-2d14-3fac-8201-e19678d3a712#report/company_summary']","['26 March 1970', 'https://opencorporates.com/companies/au/008478699']","['176M', 'https://app.avention.com/company/c9c514a8-2d14-3fac-8201-e19678d3a712#report/company_summary']",None,"['Australia', 'https://opencorporates.com/companies/au/008478699']","['489', 'https://app.avention.com/company/c9c514a8-2d14-3fac-8201-e19678d3a712#report/company_summary']","['Private Subsidiary, Headquarters', 'https://app.avention.com/company/c9c514a8-2d14-3fac-8201-e19678d3a712#report/company_summary']",0.0,0.0,0.0,0.0,0.0
Infrastructure maintenance software in australia or newzealand,Home | MAV website,https://www.mav.asn.au/,Who we are. The MAV is a membership association and the legislated peak body for local government in Victoria. About us · Our performance · Work for us ...,mav.asn.au,"['Level  12 , 60 Collins St, Melbourne VIC 3000', 'https://www.mav.asn.au/what-we-do/insurance']","['comms@mav.asn.au', 'https://www.mav.asn.au/what-we-do/policy-advocacy/councils-response-to-covid-19']","['+61418 132 573', 'http://www.mav.asn.au/news/campaign-news-items/survey-reveals-councillor-election-motivations-28jun16']","['local councils', 'local communities', 'victorian councils', 'victorian local government', 'other victorian councils', 'local community priorities', 'local aboriginal communities', 'local government elections', 'council elections', 'member councils']","[['Kerry Thompson', 'CEO'], 'https://www.mav.asn.au/who-we-are/organisation/ceo']","['Executive and Legislature', 'https://app.avention.com/company/b1ae73a4-40ac-3547-b589-9e0753a6c535#report/company_summary']","['11 June 2002', 'https://opencorporates.com/companies/au/100866706']","['42M', 'https://app.avention.com/company/b1ae73a4-40ac-3547-b589-9e0753a6c535#report/company_summary']",None,"['Australia', 'https://opencorporates.com/companies/au/100866706']","['40', 'https://app.avention.com/company/b1ae73a4-40ac-3547-b589-9e0753a6c535#report/company_summary']","['Public Sector Independent', 'https://app.avention.com/company/b1ae73a4-40ac-3547-b589-9e0753a6c535#report/company_summary']",0.625,0.25,0.0,0.0,0.21875
Building management software in australia or newzealand,Job Management Software | Independent Contractor App from ...,https://www.tradifyhq.com/,Used by 15 000+ Tradies Worldwide. Tradify's Job Management Software Will Kill Your Paper Trail. Quote  Schedule  Track and Invoice Jobs in One Place. Try it For FREE._Used by 15 000+ Tradies Worldwide. Tradify's Job Management Software Will Kill Your Paper Trail. Quote  Schedule  Track and Invoice Jobs in One Place. Try it For FREE.__Used by 15 000+ Tradies Worldwide. Tradify's Job Management Software Will Kill Your Paper Trail. Quote  Schedule  Track and Invoice Jobs in One Place. Try it For FREE.,tradifyhq,"['3 Arawa Street Grafton Auckland 1023 New Zealand', 'https://www.tradifyhq.com/terms']","['support@tradifyhq.com', 'https://www.tradifyhq.com/terms']","['+64 9-801 6072', ['Tradify, phone', 'knowledge_panel']]","['new zealand trade businesses', 'new business', 'many trade businesses', 'australian trade businesses', 'most trade businesses', 'small trade businesses', 'business cash flow', 'overall tradify business growth', 'uk trade business', 'trade business growth']","[['Erich LITCH', ' director'], 'https://opencorporates.com/companies/nz/2400514']","['Finance and insurance, IT - Software', 'from_classification_model']","['12 February 2010', 'https://opencorporates.com/companies/nz/2400514']",None,None,"['New Zealand', 'https://opencorporates.com/companies/nz/2400514']",None,"['NZ Limited Company', 'https://opencorporates.com/companies/nz/2400514']",1.0,0.0,0.0,0.0,0.25
Building management software in australia or newzealand,RMS Cloud: Property Management & Hotel Management ...,https://www.rmscloud.com/,RMS Property Management System - One of the World's Trusted Property Management and Hotel Management Systems_RMS Cloud Hotel and Property Management Software with inbuilt Channel Manager allows Hotels  Motels and Caravan and Camping Park owners to manage Bookings  Reservation  Housekeeping and other Activities,rmscloud,"['116 Harrick Road, Keilor Park, Victoria 3042 Australia', 'https://www.rmscloud.com/commercial/online-terms-and-conditions']","['trainingcoordinator@rms.com.au', 'https://www.rmscloud.com/trainingvideos']","['+61447 100774', 'https://www.rmscloud.com/news/rms-heads-to-the-worlds-leading-travel-show']","['rms rms upgrades support', 'rms property management systems', 'rms properties', 'rms cloud technology', 'rms cloud', 'rms hospitality cloud', 'rms', 'rms customers', 'rms system', 'rms hospitality']","[['Gerry Comninos', 'CEO'], 'https://www.rmscloud.com/news/get-to-know-rms-ceo-gerry-comninos']","[['Software'], 'https://www.crunchbase.com/organization/rms']","['1983', 'https://www.crunchbase.com/organization/rms']",None,None,"[' Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/rms']",None,"['Private', 'https://www.crunchbase.com/organization/rms']",0.25,0.25,0.0,0.0,0.125
Equipment maintenance software in australia or newzealand,Hillrom | Enhancing outcomes for patients and their caregivers,https://www.hill-rom.com.au/,Hillrom is a leading provider of medical technologies for the health care industry including hospital beds  patient lifts  and non-invasive therapeutic products.,hill-rom,"['Suite  4 .01, 2-4 Lyonpark Road Macquarie Park NSW 2113 Australia', 'https://www.hill-rom.com.au/international/Our-Company/Contact-Us/Hill-Rom-Office-Locations/']","['fficer@hill-rom.com', 'https://www.hill-rom.com.au/au/Privacy-Policy/']","['1800 650 083', 'https://www.hill-rom.com.au/international/Our-Company/Contact-Us/Hill-Rom-Office-Locations/']","['de serviços de suporte', 'и hillrom', 'de consentimento para o processamento de suas informações pessoais', 'para e de diversos', 'de administração de sistema', 'endereço de e-mail e outras informações de contato', 'aviso de práticas de privacidade', 'de informações', 'informações pessoais que coletamos de você', 'políticas de privacidade de quaisquer']","[['Bruce Peatey', 'CEO'], 'https://au.linkedin.com/in/brucepeatey']","[['Health Care'], 'https://www.crunchbase.com/organization/medicraft-australia-pty-ltd']","['1986', 'https://www.crunchbase.com/organization/medicraft-australia-pty-ltd']","['19M', 'https://app.avention.com/company/28fd9457-de5b-3169-870b-22d44056397f#report/company_summary']",None,"[' Marrickville, New South Wales, Australia', 'https://www.crunchbase.com/organization/medicraft-australia-pty-ltd']","['37', 'https://app.avention.com/company/28fd9457-de5b-3169-870b-22d44056397f#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/medicraft-australia-pty-ltd']",0.625,0.25,0.75,0.0,0.40625
Infrastructure management software in australia or newzealand,RIB Software ANZ,https://www.rib-software.com.au/,A better way to manage all your project data. Intelligent Project Collaboration and Control. Watch Now  Contractors Consultants Developers Owners 100 Clients Worldwide 30 Branches Worldwide 50 Years of Experience     Connecting all people  processes  data. MTWO is a world-class 5D BIM enterprise solution for construction management  designed to connect all project contributors along with their processes and …,rib-software,"['U3 11-13 Orion Rd Lane Cove West, NEW SOUTH WALES, 2066 Australia', 'https://www.dnb.com/business-directory/company-profiles.rib_software_pty_ltd.bb530763245c55a0c026249181e6c66c.html']","['info@clouda2k.com', 'https://www.rib-software.com.au/contact/?subject=Sales%20Enquiry%20-%20iTWO%20cx']","['1800 223 562', 'https://www.rib-software.com.au/contact/?subject=Sales%20Enquiry%20-%20iTWO%20cx']","['itwo cx project management software', 'multiple itwo cx projects', 'rib itwo platform', 'construction project management', 'construction itwo', 'construction projects', 'construction project teams', 'itwo cx mobile', 'itwo cx update', 'itwo technology']","[['Christine Reilly - RIB', 'CEO'], 'https://au.linkedin.com/in/chrisreillysales']","['IT - Software, Finance and insurance', 'from_classification_model']","['26 September 1997', 'https://opencorporates.com/companies/au/080214973']","['$6.66 million USD', 'https://www.dnb.com/business-directory/company-profiles.rib_software_pty_ltd.bb530763245c55a0c026249181e6c66c.html']",None,"['Australia', 'https://opencorporates.com/companies/au/080214973']",None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.rib_software_pty_ltd.bb530763245c55a0c026249181e6c66c.html']",0.0,0.25,0.0,0.0,0.0625
Dental practice management system in australia or newzealand,Standards Online (SOL) - SAI Global,https://www.saiglobal.com/online/,Your Last Name and Location are now mandatory to access the platform  simply enter the details in field (e.g. Smith/Perth). Forgot your password? Click here to ...,saiglobal,"['680 George\xa0St, Sydney NSW 2000 GPO Box 5420, SYDNEY NSW 2001', 'https://www.saiglobal.com/property/AboutUs/ContactUs/']","['bankwest.bookings@saiglobal.com', 'https://www.saiglobal.com/property/AboutUs/ContactUs/']","['1300 788 918', 'https://www.saiglobal.com/property/AboutUs/ContactUs/']",None,"[['Peter Granat', 'CEO'], 'https://www.saiglobal.com/hub/sai-global-newsroom/sai-global-ceo-announced-as-peter-granat']","['IT - Software, Finance and insurance', 'from_classification_model']","['13 December 1990', 'https://opencorporates.com/companies/au/050611642']","['$298.10 million USD', 'https://www.dnb.com/business-directory/company-profiles.sai_global_pty_limited.49729aea53151fd3.html']",None,"['Australia', 'https://opencorporates.com/companies/au/050611642']",None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.sai_global_pty_limited.49729aea53151fd3.html']",0.625,0.25,0.375,0.0,0.3125
Infrastructure management software in australia or newzealand,Datacom: Home,https://www.datacom.com.au/,Datacom designs  builds and runs IT systems and process for business.,datacom,"['Level 10, South Tower, 68 Jervois Quay Wellington, 6011 New Zealand ', 'https://app.avention.com/company/d1064cc7-fec7-3b31-95db-1f4fbf24875d#report/company_summary']","['info@datacom.com.au', 'https://www.crunchbase.com/organization/datacom']","['+64-44601500', 'https://www.dnb.com/business-directory/company-profiles.datacom_group_limited.e71e65415779dae648723636310577a4.html']","['datacom newsroom datacom', 'datacom group gdpr statement datacom', 'datacom services', 'datacom', 'datacom customers', 'datacom staff', 'datacom partners', 'datacom group', 'datacom employees', 'given datacom']","[['Gregory Lance Davidson', 'Director'], 'https://app.avention.com/company/d1064cc7-fec7-3b31-95db-1f4fbf24875d#report/company_summary']","[['AppsInformation Technology'], 'https://www.crunchbase.com/organization/datacom']","['1965', 'https://www.crunchbase.com/organization/datacom']","['716M', 'https://app.avention.com/company/d1064cc7-fec7-3b31-95db-1f4fbf24875d#report/company_summary']",None,"[' Wellington, Wellington, New Zealand', 'https://www.crunchbase.com/organization/datacom']","['4.6k', 'https://app.avention.com/company/d1064cc7-fec7-3b31-95db-1f4fbf24875d#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/datacom']",0.5,0.25,0.375,0.0,0.28125
Asset maintenance software in australia or newzealand,Ampro | Maintenance Management Software,https://www.amproapplications.com.au/,AMPRO Applications offers the stress free hosting solution  allowing you to concentrate on what you do and we worry about ensuring you have 99% up-time of ...,amproapplications,"['89 610 493 920  Street Address: 7 Henchman St Nundah QLD 4012 Australia', 'https://www.amproapplications.com.au/contact-us']","['sales@amproapplications.com.au', 'https://www.amproapplications.com.au/free-access-to-hosting-demo']","['+61 7 3359 2488', 'https://www.amproapplications.com.au/online-presentation']","['ampro drilling ampro applications pty ltd', 'ampro notifier ampro', 'ampro webinar ampro', 'ampro notifier ampro software', 'ampro applications pty ltd products', 'other ampro applications pty ltd products', 'ampro applications pty ltd employees', 'customers ampro applications pty ltd', 'inspections ampro applications pty ltd', 'ampro applications pty ltd spokespersons']",None,"[['Information TechnologySoftware'], 'https://www.crunchbase.com/organization/ampro-software']",None,None,None,"[' Brisbane, Queensland, Australia', 'https://www.crunchbase.com/organization/ampro-software']",None,"['Private', 'https://www.crunchbase.com/organization/ampro-software']",0.25,0.25,0.0,0.0,0.125
